Date of Arrest (DoA),Year/Month,Charge 1,Charge 2,Charge 3,SEX,RACE,Age (on DoA),Primary Charge,Code,Age Group,Eth/Race
06/02/2015,2015-June,11377(A) HS,,,M,White,44,Possession - controlled subst,Health & Safety,36-45,White
06/03/2015,2015-June,647(f) PC,,,M,White,58,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,White
06/04/2015,2015-June,11378 HS,21810 PC,11364.1(a) HS,M,White,28,Possession for sale - contr subst,Health & Safety,26-35,White
06/05/2015,2015-June,Dav,11350(A) HS,11357(B) HS,M,Black,23,Possession - controlled subst,Health & Safety,18-25,African-Amer
06/05/2015,2015-June,182(A)(1) PC,487(A) PC,496(A) PC,M,White,19,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,White
06/05/2015,2015-June,10851(A) VC,182(A)(1) PC,487(A) PC,M,White,22,car theft or tampering,Vehicle Code,18-25,White
06/05/2015,2015-June,23152(a) VC,23152(b) VC,,F,White,32,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
06/06/2015,2015-June,647(f) PC,,,M,Black,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
06/06/2015,2015-June,11364.1(a) HS,647(h) PC,,M,Black,43,Drug paraphernalia,Health & Safety,36-45,African-Amer
06/06/2015,2015-June,11377(A) HS,647(h) PC,,M,Other Asian,34,Possession - controlled subst,Health & Safety,26-35,Asian
06/06/2015,2015-June,242 PC,602.1(A) PC,647(f) PC,M,White,37,Battery,Penal Code - Against person,36-45,White
06/07/2015,2015-June,11350(A) HS,,,M,White,21,Possession - controlled subst,Health & Safety,18-25,White
06/07/2015,2015-June,11364(a) HS,26.04.020 (a) CC,27.02.160 CC,F,White,31,Drug paraphernalia,Health & Safety,26-35,White
06/09/2015,2015-June,496(A) PC,,,M,Hispanic,22,Receives Stolen Property,Penal Code - Larceny,18-25,Hispanic
06/10/2015,2015-June,243(e)(1) PC,11377(A) HS,11364.1(a) HS,M,White,32,Battery on a spouse/partner,Penal Code - Against person,26-35,White
06/11/2015,2015-June,11378 HS,11364.1(a) HS,,F,Black,37,Possession for sale - contr subst,Health & Safety,36-45,African-Amer
06/11/2015,2015-June,22610(a) PC,,,M,Hispanic,24,Illegal possession of a stun gun,Penal Code - Weapons,18-25,Hispanic
06/11/2015,2015-June,11377(A) HS,14601.2(A) VC,,M,Hispanic,32,Possession - controlled subst,Health & Safety,26-35,Hispanic
